cities,population_2011,total_accidents,killed,grievously_injured,injured
Agra,1760285,1085,616,682,932
Ahmedabad,6357693,1375,439,589,1143
Allahabad,1212395,1413,599,612,965
Amritsar,1183549,133,95,58,76
Asansol,1243414,446,313,284,352
Aurangabad,1193167,560,199,317,434
Bengaluru,8520435,4684,768,2488,4250
Bhopal,1886100,3287,259,223,2630
Chandigarh,1026459,305,104,17,275
Coimbatore,2136916,1062,132,332,1073
Chennai,8653521,6871,1252,1773,6702
Delhi,16349831,5610,1463,778,5152
Dhanbad,1196214,171,127,46,75
Faridabad,1414050,1589,264,101,635
Ghaziabad,2375820,890,385,390,606
Gwalior,1102884,2109,292,80,1608
Hyderabad,7677018,2900,271,184,2649
Indore,2170295,3383,328,42,2991
Jabalpur,1268848,3397,406,531,3530
Jaipur,3046163,4271,1283,1230,3581
Jamshedpur,1339438,191,92,100,129
Jodhpur,1138300,1117,589,277,834
Kannur,1640986,657,82,405,811
Kanpur,2920496,1507,692,835,1043
Khozikode,2028399,1597,179,1152,1597
Kochi,2119724,2290,155,1697,2254
Kolkata,14057991,2500,267,1227,2004
Kollam,1110668,1940,225,1726,1981
Kota,1001694,784,225,113,813
Lucknow,2902920,1685,581,507,931
Ludhiana,1618879,553,264,273,289
Madurai,1465625,866,193,5,799
Malappuram,1699060,2562,364,2055,2826
Meerut,1420902,956,413,156,644
Mumbai,18394912,2872,447,2147,2925
Nagpur,2497870,1007,250,612,1042
Nashik,1561809,553,177,385,540
Patna,2049156,524,192,293,314
Pune,5057709,791,206,463,626
Raipur,1123558,2146,458,75,1581
Rajkot,1390640,575,170,212,437
Srinagar,1264202,310,45,0,323
Surat,4591246,945,292,534,718
Thiruvananthapuram,1679754,1995,205,1762,2184
Thrissur,1861269,2210,213,1636,2491
Tiruchirappalli,1022518,517,104,32,585
Vadodara,1822221,679,158,347,551
Varanasi,1432280,610,288,179,328
Vijaywada city,1476931,1495,354,474,1391
Vizag,1728128,1706,323,1030,1470
