y_sm,y_std
0.06843603841783077,0.002227630859437803
0.02970337196557913,0.005297899185549325
0.007713044626417295,0.01913018716194954
0.002413434070277177,0.020031695164880185
0.000856198435275923,0.018944177423445462
0.0007420796862116893,0.011625225607546452
0.0006197079825057746,0.010118540380899361
0.0005342170250211831,0.009868229960793526
0.0005086991789776567,0.0097315252990747
0.00040231950897244746,0.009413391646941096
0.00033831780776654764,0.010792010993553742
0.00031455301511914397,0.018239908173726987
0.00036671591043893246,0.009776174386765622
